"NAMA","KOMENTAR"
"_mega.g","Dulu waktu gua skolah banyak ni yang begini cuma ga ke ekspos 🤣"
"oraflay29","""Kok bisa-bisa nya selingkuh ya"" ya bisa lah mbak namanya juga godaan setan"
"rifki_fajr","Gila sih. Gua jamin kalau gak cerai 20 tahun kemudian si laki bakal selingkuh berkali-kali . Orang gak gampang berubah. Udah ada contohnya soalnya 😂😂😂"
"nurishr97","Gemes anjir emg anak-Anak zaman sekarang maunya sama suami orang😂😂"
"sisweetest","Disuruh sekolah malah jadi pelakor😂"
"mhyatajuddin","Bocil jaman sekarang emang agak lain yah 😬"
"tikasyaqib","sudah biasa guru olahraga sama siswi, dari jaman aku samaA juga pernah tau, malah pernah ke pergok juga lagi gituan, dan guru di pecat tp siswi nya masih boleh sekolah, kan gak adil"
"fatihmfh","Indosiar seneng nih pasti dapet bahan sinetron 😂"
"silmi.novia","GURUNYA WAJIB DIPECAT DAN BLACkalauIST DARI JABATAN GURU. GAK PANTES DI GUGUh LAN DI TIRU"
"aisyahmarishaa","Emang agak gesrek kaum milenial diakhir zaman ini "
"azrinadevi_","Kok aku gak kaget yaaa"
"umainasution","Sulit banget emang ya ngadepin manusia hasil netes dari kinderjoy, kek berasa dia yg terzolimi"
"abdullnana","asli Idaman guru olahraga 🗿"
"m4ri4_fhd","Ngeri murid adalah maut"
"sese.seline","Dah ga aneh guru olahraga kalo masih muda emang begitu kebanyakan, ditambah ketemu murid yg kelenjehan kemurahan jadi ya begitu deh🥱"
"indriisianturi19","Masih samaA udh jadi ani ani.  Spill dong ini samaA mana, kebetulan saya orang subang😂"
"yt_pnjlnezzzy","kalau anak sekolah otak nya masih cetek coba.kalau dia.udah besar pasti sebal banget inget wanita itu , yg waras pak gurunya harusnya yg ga ladenin,kucing dikasih.ikan.masa nolak,dahlah ga pake.cerai, semoga itu hanya ujian sesaat ga akan terulang lg"
"ngaks23"," malah merasa paling tersakiti tu bocah😂"
"indracpakaya","yok kita-kita aja yang benci tu bocah yg jual diri itu"
"greethell_","Sakit banget anak jaman sekarang"
"amndavhtm","ribet kalau udah selingkuh gitu mah, amit2"
"witisquarepants","Jaman samaA ku lebih dari 1 2 yg pacaran sama guru😂😂😂"
"rizkiipehhanipeh","Disekolahin tuh biar pinter,bukan jadi pelakor "
"dahliasepti_","Siswa siswi sekarang pada berani2 amat"
"khaii_maisya","Sekolah buat orang ngejar prestasi bukan buat ngejar guru laki-laki😁"
"raden.wardani","seganteng apa dan sebanyak apa sih gaji guru olahraganya? Bisa-bisa nya selingkuh "
"icaaahceah","Benci bet aku sama cewe ulet bulu gini😭"
"icaaahceah","Ngeri bgt kebawa gede kelakuan busuknya😭"
"scorpiozalea","datengin kekeluarganya ini mah"
"ronda_icin57"," malah dinikmati sama gurunya..bukannya kasih tahu biar sekolah dulu itu anak didiknya"
"rasarumputlovelove","tinggal pecat apa susah"
"andikaadipermadi92","Penjahat kelamin berkedok menjadi seorang guru"
"indriindraini_","Udh biasa ya perebut akan playing victim. Begitu jgua si lakinya😂😂. "
"fia.putriii","saya di kampus ku ada dosen sama mahasiswa pacaran🤣"
"renieptr1296","Di sekolah aku tahun lalu juga viral kek gini 😂😂"
"syasfii_","Buset sakit bener tuh bocah (walau saya msh bocah juga sih). Maaf tapi Kaya gitu termasuk bibit pelakor ga sih"
"mirandaila","Bocil sekarang pada songong dan gak ngerti sopan santun ."
"bint.abatiy","Kasian ortunya"
"assavariara_","Sakit sih ini"
"im.an_08","Anak segitu Masi masa labil ,ga sepantasnya guru memanfaatkan kelabilan anak didik  untuk pelepas napsunya ,ini gurunya yang bermasalah"
"anggunz._","Playingvictim bocil nya bejir😭🙏🏻🙏🏻"
"risamaanisamae_","Guru olahraga mah emang rada lain, gak semua tapi kayaknya kebanyakan yg gue temuin agak agak. Dulu juga Ampe ngechatin temen, temen guenya rada takut, maksa mau traktir makan. Akhirnya temen gue bawa geng nya, berlima lah kita makan bareng biar tekor tuh si bapak. Untung nya dari situ gak manjang, kapok kali ya hahah"
"luvita_febri","Kalau di sekolah ku dulu guru PPKN kalau lewat depan dia murid cewek suka di jepret""in tali kutang jir, tp sekarang dah pensiun kayaknya (gue samaP tshun 2008) 😂"
"sofiaanawiyah","Ada loh temenku dulu jadi selingkuhan nya guru sampe ke luar kota nginep hotel wkwk"
"passaje20","yang viral mah cuma ini, aslinya di kehidupan nyata lebih banyak lagi, apalagi guru penjas pasti mendominasi kalo soal goda-godain siswi duluan😂😂"
"aystyngrm22","Bocil jaman sekarang ngeri bgt"
"makhluk.tampan_dari.mars","Kebanyakan guru olahraga gitu sih, kebanyakan loh ya, bukan semua"
"warung_kopi_senja","Hai bu guru... Miskinkan dulu suamimu.. Baru sehabis itu pengadilan agama buka senin ampe jumat.."
"danekiw22","Yg jomblo cuma bisa mikirin kapan dapat punya pasangan setia"
"hifni_alghifanie","pernah punya mantan orang subang, kek gitu pacaran sama guru yg punya istri sampe dll 🤣 udah ga aneh"
"mocha.mocha28","udahlah pokok nya anak kelahiran 2000 ke atas suka ya sama bapa bapa, muka sama umur tuaan mukaa... udah lah paket lengkap"
"jnnhmozza","gak perlu cantik sekarang mah yg penting gatal"
"hanaa_dwiii","Semoga kita semua, dilindungi garis keturunannya , bersih dri perzinaan, Aamiin, ☺️🙏🏻. Biar rezeki ngalir dan hidup lebih berkah"
"novaalllll_","tidak heran sii🤣"
"mlsr_syhpr","dua-duanya udh sakit"
"fajar_riyanti_","Alhamdulillah, guru olahragaku dulu emak"" sayang anak❤️"
"windekidiw","Udah banyak yang kaya gini dari dulu😂"
"zhakiaalif","Knpa dah  guru olah raga Gitu, ga semua sih tapi oknum rata"""
"blackadvb944","Menurut saya dua2nya salah... gak bisa sepenuhnya memviralkan si anak tersebut. kalau mau viralkan keduanya. Suaminya juga kalau bisa diviralkan. Jangan karena suami, sepenuhnya salah si anak sedangkan suami tidak. Ingat, perselingkuhan ada juga karena si laki2 memberikan kesempatan peluang. Jadi foto si suami jangan disensor kalau bisa dua2nya dikasih liat sekalian. Jelas & tau jadinya."
"zacky.xz","guru olahraga emang suka gitu"
"dewa_nanda_k","Percayalah, selingkuh itu udah kebiasaan,, saya sebagai korban selingkuhan uda merasakan,, dan biasanya kalauau sekaki uda selingkuh, nyocol nya gk cuma 1, bisa 2 bahkan 3, uda bagus jalan terakhir adalah perceraian"
"adnkun","Banyak yg kya gini wkwk"
"fazmisaputri","Bocil pikiran nya cetek, kalau udah tau punya istri kenapa masih kau terobisaesi, sakit kau hah ? !"
"_matchaloperr_","Timpuk aja pake batu bu kalo ketemu biar diem"
"dianayumita","nemu postingan ini kaget bgt, aku dulu pernah mau ngelabrak guru nya adeku yg menurutku ga normal dia uda nikah tp perlakuan ke adeku kebangetan dari chat mesra sampe dibikin lagu ! gila sih, dr chat nya bener bener ngetreat kayak cewe nya. kebawa baper bahkan dr SMP sampe adik aku Kuliah masih aja keinget itu cowo berasa cinta pertamanya adeku 😭😭😭 pas kejadian adeku 13 taun woi"
"nurnitanurdin","Anak bujang sudah g da lagi stok ya dek..suami orang pun di gaet.. masih sekolah..tapi lihat ya..g kesian sama istrinya???"
"ini_introvert","GURU pacaran sama MURID aja itu udah SALAH.... apapun itu"
"ujennnnnnnnn","Udah diapa apain itu kayaknya dah. Body nya kek udah ibu ibu anak dua 😂 (suujon dikit gangaruh)"
"missangatsu","Suka lucu sama orang-orang luknut macam ini. Playing victim banget. Dan pasangan yg HARUSNYA jaga perasaan, amanat dan tanggung jawab ke pasangannya yg SAH. Tapi malah DIAM aja."
"damiaa.nf","belum tau aja sekolah gue muridnya sampe hamil, 😢"
"lamila13","Si anak murid ga tau malu, belajar nya double ya pelajaran ya ani ani. Dan guru juga mesti di pecat !!!"
"chrstinajeen","Hmmm aneh 😮. Gurunya sih salah, harusnya dia sadar murid tuh 'anak' didik. Ini malah dijadiin kesempatan buat selingkuh  🫠😑😑😑"
"ikaputri30"," kawan kita artis juga loh gub pada masanya"
"mrs.ernie_wulandari","Ini suaminya rendah diri karena dibawah level istrinya. Jadi mencari apresiasi dr luar yg setara sama dia. Level bocil. sUdah lah bu ganti suami aja. 🔥"
"bossqisal","Temen sd gue dirumorin sama kek gini guru olahraga pula 2008nan kalo gak salah😂 tau dah gak ikut” pikiran gue masih main monopoli"
"devitrianimaresa","Banyak bgt yg kaya begini dih. Takut. Plis kalau kaliannya yg di deketin guru duluan. Run gausah takut. Apalagi kalau gurunya udh berkeluarga dan beranak. Plis run. Curhat ke temen2 yg lain kek biar setidaknya terlindungi. Kecuali kalau emang sama2 mau. Sakit berarti jiwanya"
"noiftiih","asli kesayangan guru penjas"
"ndyatriutm","Mau gimana pun tetap salah laki lakinya"
"uniquelo.id","Bocil samaa skarenag lagian mentul mentul banget ya"
"metta_mawardi","Udah liat muka nya, gw kira gurunya cakep kayak jefri nichol lah ternyata kayak kukang 🤧😭"
"ssperi0ssrra_","ternyata kasus gini bukan cuman di sekolah ku 😢"
"mnnuy_","pecat guru laki-laki nya"
"sofiahulfah07","Kaya udah biasa banget kaya gini disekolah apalagi guru cowoknya masih muda 😢 yang ketauan aja baru ini"
"congorwii","Endingnya menjadi sipaling tersakiti padahal dia pelaku utamanya 😂"
"fbyhanum","BIARIN AJA BUK, NANTI TAGIH DI AKHIRAT"
"affo_gatto","Palingan si pak guru cuma mau 'nganu' nya' doang,,.secara masih anak sekolah,masih piriwin.. tp gak mikir dia pny anak cewe,amit"" kalo nak cewenya digituin apa iyaa bakal relaa,, tp tetep intinya ada pada laki,kalau si laki tetep kejar/belain si bocil yaa sakit berarti itu laki,ga sadar diri amit""... Dari SD sampe samaK guru laki cuma pas SD,itu jg bapakny temen 1kelasku😂"
"ucilpuppy_","Datengin rumah ortu nya labrak Bu "
"elytrina","Emang suka sebel sih kalo udah ada guru laki laki yang suka keganjenan sama siswi. Terus sama sisiwi itu juga malah keganjenan. Lama kelamaan jd main hati, apalagi skarenag gk ada privasi samaa sekali no wa guru bisa d dapetin d berbagai grup sekolah, dan siswa kadang gak tau waktu kalo ngehubungi guru. Kalo udah sama siswi ganjen pasti di jadiin modus. Banyak sih yg kaya gini cuman gak ke  up aja, makanya lebih banyak yg tegas guru cewe sekarang ma, tegas di bilang galak sama siswi ma karena maunya sama guru cowo yg menye2 😂"
"ga.angga_w","Jiwa Pelacur menyalaa🔥"
"gieichsan01","Padahal masa depan si bocil itu masih cerah mau-maunya mau mengambil istri org oh iya logika nya gak dipake lupa 😂"
"gieichsan01","Bentar kok ngeri sih😂 bocil merasa jadi korban playing victim bngt 🤣"
"stf.fani","Tim yang gapernah macarin guru 😭 padahal dulu guruku ada yang ganteng banget 😭🤣"
"ramadita_31","Di sekolah gua dulu malah siswi sama kepala sekolah 😂😂😂😂"
"tyorasoka","Kasian yg cowok baik"" Berpendidikan S2 pun masih banyak yg jomblo, dia beruntung dapet istri wanita cantik S2 pula, malah selingkuh sama muridnya hadehh.., cuma guru olahraga doang mah ngaca atuh bersyukur"
"shayyu1511","Kagum boleh tapi ini njir sampai terobsesi , mana masih muda lagi tinggal beberapa bulan lagi padahal"
"ardhy_ahd","guru olahraga kalau gak stress ya cabul"
"lailaikawati","Debat sama anak sekolahan itu capek banget nguras energi banget karena mereka belom paham ketika negara api menyerang, belom paham hukum tabur tuai taunya ""puas"" Aja, aq jga lagi meredam emosi karena pembully anakq makin menjadi2😢lagi ngumpulin bukti soalnya pasti playing victim"
"thekhathakydwhe","Gilaaa tinggalin aja mbak suaminya"
"puguh_b_p","Bocil sekarang playing victims mulu"
"sound_of_nda","Anak samaa ini masa puber, ketika kita ngasih hati perhatian lebih sama lawan jenis di kira suka 😭 jdi kesannya malah obisaesi"
"kidsapparel_id","Gini nih, ajaran orang tua yang waktu kecil kalo anaknya ngerebut mainan temen bilangnya "" yaudah, si namanya juga anak-anak"". Keterusan sampe gede kan, ngerebut suami orang 😢😢😢"
"anickaniki","Ga heran sih"
"53.642182","Banyak sebenernya yang kaya ginimah cuman mungkin yang ini lagi apes aja😂"
"yufi_62","apa yg diharepin hubungan dari hasil perselingkuhan? keluarga harmonis??"
"furiki_rei"," tuh.. Ngeri amat bocil jaman sekarang Udah ga sekedar bocil.. Ga boleh lengah, ga boleh kelewat nyaman.. Ga perlu sok adek2an.. Biasa aja, seperlunya, sebutuhnya.. Selalu ingat itu yak, 😊"
"1mamfauzi","berselingkuh adalah hal yg paling memalukan"
"puti_masitah","Biar sama sama hancur kan maunya ? Aduh"
"farel_aliifa_","Banyak cuma jarang kee post aja"
"mamamamakan","guru olahraganya juga sih yg salah udah tau punya istri ya dikasih batasan lah sama anak zaman sekarang mah jangan terlalu friendly soalnya gampang baper anak zaman sekarang"
"zaydzc_","udah ga heran kalau guru olahraga mah wkwk"
"_aulbis","Yg kayak gini ngapa disensor dah muka pelakunya"
"ojaqojaq","Perselingkuhan lagi.. Haduh"
"muutiarasalwa","hadeh kaya gada laki laen ajaaaaa"
"bubuu.jnj","Yg lebih salah laki nya sih"
"veroniqeaamelia","Ada aja kelakuan bocil.. sekolah aja yg bener. Ga kasian apa ke mama papanya yang udah biayain."
"sheherine","Drama perselingkuhan mulu"
"zackazefanya","Kalau udah di kasih hidup enak tenang jangan bikin ulahh apa, susah banget ya?? Padahal tinggal jalanin nikmatin apa susah nya si? 😢"
"gabrieladyahsantika","Begitulah didikan islami"
"berliana0921","Tanggung amat katanya sama-sama hancur sekalian..ngapain ditutup foto nya sih"
"eewyin","sakit ni bocah, boleh aja suka tapi ga obsesi sampai pacaran padahal udah suami orang🤏🏼"
"mm2yp_","malah playing victim, dek minimal pastiin lulus dulu lah"
"intan_fn77","Pas chat permintaan maaf terakhir serasa dia yg paling korban,jijik 😂"
"mobileclass.bisnis_viral2024","Percayaaa aku mah..jangankan jaman sekarang jaman dulu jg suka ada yg beginian... makanya masa-masa SMA itu lagi rawan-rawan nya buat anak cewe ataupun cowo..lebih ke anak cewe mau itu sesama anak muda atau ke gurunya, harus bener² ekstra jagain anak😢"
"idslmh","Suamiku guru olahraga SD wkwkwk agak deg-deg an jg ya tp insyallah semoga allah melindungi Rumah Tangga ku , aku jg pengalaman mengajar Kaya cinlok2 gini banyak bukan hanya guru dgn murid ada jg guru dgn guru itu tergantung org nya jg"
"desiputrikemalasari","Bukan main anak jaman sekarang,nyalinya ngeri 😑😑"
"hanaftrni","Yaampuuuun Subang gais"
"lutviana_karin","Dua2nya ganjen. Demi Allah benci bgt kalau liat ada perselingkuhan."
"oborerusakana07","Itu lagi legit2nya dek kalo nanya kenapa selingkuh? Iya itu jawabannya😂"
"ltfhmbr","my biggest dream gak tuh. itu suami orang dek"
"cicilia_devii","Astaga, masih punya muka kah kalo gitu ? Astaga dia belum tau aja dunia pernikahan kaya gimana, baru tau manis2 nya aja. Gw doa in masa depan lu suram dek + guru olahraga nya tuh. 😂"
"rizela27","Kasus nya sama kaya sodara ku , selingkuh sama muridnya. Selingkuh dari si murid SMA sampe kuliah . Kurang lebih 6 tahun dan ketahuan di umur pernikahan yg ke 7 th . Jadi suaminya selingkuh sama si murid tsb pas usia pernikahan 1 th 😢 . Dan sekarang udah bercerai 🥹"
"xmnmoo80","selingkuhan nya playing victim anjr"
"ayyu8_","Emng jaman sekarang banyak bocil kematian gak tau diri"
"mnkaptr23","Guru di pecat, siswa di DO kayaknya pantes sih, jangan kasih jera buat pelaku selingkuh 🔥"
"irhs_c","Selingkuh gak kenal umur"
"millaelmiera","banyak sih kaya gini"
"yuliaaanurf","tp emang iya si byk bgt yg kek gini, dulu jaman SMA jg byk bgt yg mepet² begini🥹 aku yg gamau nyari masalah lebih milih ngejauh aja kalo ada tmn yg kek gini, soalnya udah sama sama dewasa yaaa gaperlu lah di kasih tau ini salah, pasti tau dan sadar kalo itu salah"
"perupa_mu","Di ini si kesukaan guru penjas"
"endaahnd","Bu guru percuma dikasih maaf toh pasti mereka bakal ngulqngi lqgi dibelakang ibu dengan cara lain..udah buk, anak ga perlu ayah yg tukang selingkuh.."
"crunchy.diluar__","Anaknya ga bisa disalahkan karena underage, anak di bawah umur pikiran nya blm matang, mudah dimanipulasi, kesalahan murni di cowoknya."
"annystapis_lampung","Pernikahan temen aku juga kandas, gegara suaminya selingkuh dengan murid nya, padahal kawan aku juga cantik banget dan mereka sudah punya momongan , anak nya masih kecil banget tapi bapak nya milih selingkuhan nya."
"appinj","Tapi kan itu juga gurunya udah mendidik 😮"
"_rdwnmhmd10","Tobrut sih siswa nya,makanya gurunya kepincut,apalagi dia guru olahraga,udh ga heran dah😂"
"thelastnameonly","Bagaimana tanggapan anda? @dhionaufal yg satu terobisaesi yg satu kesalahan berfikir 😂😂😂. Benar benar jaman edan kalo kata didi kempot 1991"
"asrimll","tapi emg bocah sekarang ga ada segan nya sama guru ga ngerti lagi"
"nurr_yn","Yang laki pecat aja, sok-sok an bgt"
"faridast_24","Playing victim, manipulatif, sok korban, jijik"
"ijaaziahr","Guru pecat, si bocil ortunya harus tau biar ortu yang ngehukum anaknya"
"pratamaardhiffa","siswanya kembalikan ke orang tuanya biar pihak sekolah dan ortu yg nyelesain, untuk gurunya pecat secara tidak hormat karna gagal mendidik anak muridnya"
"adioxa","Sama sama lagi mentingin hawa nafsu jadi ya semua terlihat indah. "
"na_inidwi","Ngeri ngeri anak sekolah zaman sekarang😭"
"_bysalsabilmus","dulu temen gw sama guru bahasa indonesia, emang sok kecakepan gurunya. pacarannya di perpustakaan sekolah. Si temen gw nya punya pacar banyak gak cuma si pak guru. Udah pada sakit emang 🙃"
"vhim.png","baru SMA udh kena gangguan jiwa. kasian"
"olineeeees","Kalo guru olahraga tuh emg udah GK aneh"
"nitanadiyaaa","Sekarang sekarang aneh ya banyak selingkuhan maennya playing victim, suka pengen ngakak guling guling deh wkwk"
"ovias10","sekolah dlu samape lulus ,blm tau kehidupan diluar setelah lulus dek dek ,,jodoh nanti ketemu sendiri,jangan ngambil yg emang udah milik orang lain,cewe harus ada harga diri ."
"dinaaa_jj12","Nih caranya, spill bukti chat, laporin ke BKN kalau dia ASN... Udh mencoreng nama baik dan integritas guru... Asli gue gedek bgt sama pribadi org yg jelek2in profesi guru gini... Buat siswinya, duh dek kerasnya hidup masih panjang buat kamu"
"ekoob_","Dulu ada tuh guruku pas SMP, malah nikah sama muridnya. Tp kan keknya nikahnya setelah siswinya lulus"
"eisenbrechtt","ko mau ya selingkuh sama bapak” gue gatau si mba nya juga punya pikiran apa mau di jadiin selingkuhan"
"evaluasi_yg_secukupnya","Itu terjadi ke diri gua sendiri , gua waktu kelas 2samak . Guru ngajak gua pacaran padahal dia udah punya istri dan 2 anak"
"lejar_fitri","Memang masa-masa yang paling mendebarkan dan logika engga kepakai di umur segitu."
"mustikanurp","Banyak kasus gini min apalagi dijaman sekarang anak muda gk kenal malu 🤭"
"_aabbeelll","Cinlok sih gapapa tapi jangan sama bapak guru yang udah punya istri woi, tega banget sumpah"
"remaytara","Di pecat aja lah. Tenaga didik yang salah kek gini bikin indonesia makin buruk"
"silfawijoyo18","semoga pas nikah dia ga ngerasain apa yang di rasain ibu guru itu"
"ajik02","siswa sekarang ngeri"" ya, samaa udah licin licin semua mukanya udah pake gincu merah merona 🔥🔥 beda sama zaman saya waktu sekolah dulu 😂"
"armaliambkr_","Gua juga suka foto berdua sama guru yang punya bini, nge fans aja tp.. kalo sampe gt mah sakit sih "
"elviraaar","Bu kalo aku jadi istrinya dah lapor ke sekolahan kalo bisa ke dinas pendidikan bu, biar di copot tuh status asn suaminya"
"amaliiaazhr","kok kaget? disekolah aku dulu banyak aja guru pacaran sama murid "
"tammam.saputro","Anak kecil sekarang mentalnya berani-berani yak😅"
"veniifebb26","kaya ga ada cowo yg laen aje neng"
"cepy301","Kalo cuma jalan gandengan tangan trus difoto bisa dianggap selingkuh juga emang ya?"
"4_ditya___","kan emng begitu guru olahraga ke cewe mah selalu nilai A walaupun ga bisa"
"christine.florensia","Guru penjas meresahkan"
"sukmaaprilliaaa","Ini kek kisah orgtua gua dulu bedanya bapak gua bukan guru emak gua ibu rumah tangga😂kalo masih mau lanjut karena ""anak"" Ya silakan, tp kalo udah jera sama tingkah lakiknya ancurin sekalian karir lakinya. Gila ya gua bingung setiap laki selingkuh bukan ngebela istri malah bela selingkuhan"
"srierna_r"," dulu disekolah gue juga ada, sama persis bgt kek gini . Kasian istrinya loh sampe cerainya 😢"
"ichannisa1604","Tapi kalau kaya gini yg salah tetep suaminya, ngapain dia mau aja digoda samaa bocil, jd yg harus dpt sanksi sosial itu ya suaminya,, bocilnya mah diemin aja, nanti dateng sendiri kok karmanya.. 😂😂"
"rizaalmyusuf","makin terlihat rendah aja nih tenaga pendidik kayaknya wkwk, kemarin"" dosen dan para ahli dibilang fitnah, bayaran. 😂"
"aalenarum","keduanya salah. Keluarin aja sekalian dr sekolah. Bikin citra buruk sekolah dan keluarga. Laki semacam gitu ngapain dipertahanin, kalo selingkuh itu penyakit. Naudzubillah mindzalik. semoga kita semua terhindar dr perbuatan keji dan mungkar. Aamiin ya rabbal alamin"
"sepupu_raisa","Husst,sembarangan bilang bibit Pelakor!!,gabolehhh,astaghfirullahhh😭😭🙏🏻🙏🏻"
"rizqiridwanr","Bocah katanya ""terobsesi"". Anget itu rahimnya dijeblosin juga ga nyesel. Gurunya juga nerima aja, kalo kata dia mah ""Wong saya suka kok"""
"ipeennk","ga usah kaget ka udah musim dari dulu juga kok 😂😂"
"agng29_","udah biasa sih, gacuman sekolah di subang doang, banyak. Tiap sekolah pasti ada, gamungkin gaada. kalauopun gada, pasti ya cuman gitu gitu aja ga kaya begini."
"ohsantii","biasa sih ga kaget apalagi guru olahraga wkwkwkwk"
"_heyolip2","Inget yg punya suami guru, karenaa bocil” banyak yang mau jadi simpenan, gak semua tapi banyak!! Cuma gak kesorot media saja"
"srilstri____","Ini masih mending udah SMA, lah temen gua masih sd di deketin mulu samaa guru olahraganya, caper balik pula temen gua nya ini. setiap hari di anterin pulang, di jajanin, pokonya tiap hari mau pagi, istirahat, atau pulang selalu bareng berdua aja. Gua yg waktu itu masih sd juga bukannya iri tapi malah jijik, udah tua ko mepet² mulu ke bocil🤣"
"maw.exe_","Sakit dua-dua nya, kasian anak istrinya woy"
"imang.firmansyah","Yaudah sih biarin aja , demen amat ngurusin idup orang"
"anggirizkyap","Pecat gurunya baik pns/honorer dan keluarkan murid yg bersangkutan, serta blacklost murid tersebut dari sekolah2 yg ada. jangan ada kata iba dan kasihan, jangan menunggu hukum karma. Hukum sekarang juga 👏"
"rakyan_ayan","""Sok kalo belum puas mah"" idih bahasa orang yg salah tapi ga mau resiko dari ulahnya sendiri😂😂"
"den_yogaa","Dimana-mana juga ada. Ada yg sampai cerai. Trus nikah sama muridnya. Cuma yang lain belum ketahuan aja."
"firdanurahjuni","Jujur aku engga kaget sih"
"ayunabila77","datengin rumah anaknya, ketemu ortunya suruh kasih tau yg bener anaknya, ajak pak RT setempat, biar jera sekalian itu anak"
"sity_ariska","banyak kok yg kek gitu pas angkatan kaka aku malah sampe berhubungan badan pula cuman ga di up ke media sosial aja jadi nya ga pada tau 🤣"
"ilmuandewasa","guru selain pahlawan tanda jawa dia juga bisa jadi predator di sekolah 💀"
"ayu_shbrn","Jadi pelakor tu ga harus pinter yg penting gatel 🔥 "
"annacheryl_yuhu","Ah...sejak aku  sekolah dulu udah ada perselingkuhan guru sama murid SMA. Cuma ga ke expos aja...yakin pasti dtempat lain juga banyak yg begini"
"iraagustin06","Gak heran ada malah istrinya di cerain murid selingkuhanya di nikahin 😂😂"
"seruniputria","Ini mending yg guru nya cowok.. yg guru nya cewek selingkuh sama murid SMA juga ada 😂😂"
"yogasukm","Siswi gatel guru olahraga goblok"
"alniawaliaa"," bocil sekolah yg bener lu.. Noh emak bapak lu kerja buat bayar spp malah jadi pelakor.. 🤬"
"r.apr1997","Dulu disekolah saya jg ada loh guru samaa olahraga pacaran sama muridnya jg 😂 gurunya udh nikah punya anak jg"
"_sisomplax_","beneran dah. masa samaa itu sangat labil. dulu waktu PPL dan perkenalan depan kelas, ya namanya saya polos belum pernah pacaran. saat ditanya anak murid sudah punya pacar atau belum, spontan saya jawab belum. selesai jam pelajaran, saya dimarahi sama guru pendampingannya. ya saya anggap kenapa, ternyata. mereka anak2 samaa itu terlalu mudah 'diraih'. duh ada aja drama selama PPL. malah saya takut sendiri sama siswinya. terlalu bar bar."
"andiiicica","Anak skolah jaman sekarang tuh TUA nya cepat bangetnya fikiran dan wajahnya cepet menua"
"tamasl05","gapapa yg penting dia berhijab"
"kekefolaya","Wey disgusting. Bukannya ngurusin utbk snbt malah genit-genit an. Tuh guru pecat aja. Siswi genit caper ke guru emang banyak dari dulu juga, tapi kalau si guru tegas gak akan ngelunjak tuh bocah!!"
"lindajagstn","Udah ga aneh ga si yg gini mah"
"zardynra","Muakk banget sama org yg selingkuh begini"
"imacheeee","Udah gk kaget sih yg kaya gini. Di SMP gw dulu banyak"
"dailydhat","Dulu pas gue samaa kelas 12 ada guru penjas cowok masih muda juga, beliau belum menikah saat itu tapi sering flirting ke siswa siswinya. Alhasil temen gue ada yang sampai kecantol sama tuh guru. Tapi gue ingetin terus, cowok kalau emang sukanya flirting dan akhirnya ada yang kepancing pasti cuman main-main saja. Dan bener dong, beliau juga flirting ke siswi lain. Pesan gue sih yaa, buat kalean anak SMA terlebih cewek, gue kasih tau emang ada beberapa oknum yang seperti itu. Kata gue teh ya, mending lo pada hati-hati, jaga diri sebaik mungkin. Karena sekali lo masuk perangkap hancur dan rusak semua masa depan lo. Dan buat para guru, gws deh. Tugas kalean itu mendidik dan mengajar bukan malah cinta-cintaan. Sah-sah aja kalean suka sama murid asal kalean belum nikah dan bisa menjaga batasan."
"masbondankuncoros94","jadi gini .. , selingkuh itu gaperlu cantik , pinter , dll cuma perlu lenjeh "
"sanarifp","Putus sekolah bukan akhir dari segalanya. Buka usaha di Michat bisa mumpung udah dapet passionnya."
"m6_shido","Lah temen gua malah nikah sama gurunya 😂😂😂"
"11nputree_21","Na'uzubillahiminzalik.. Gk malu yah anak-anak zaman ekarang malah di post pula kalau kelakuannya kaya gt artinya dia emang udah niat sih"
"__intannnsamaall","makin sini makin takut salah pilih pasangan 🙂"
"yuni_arwira","aku waktu SMA pernah di dideketin guru olahraga takut banget sampai gak pernah ikut pelajaran olahraga 🙃"
"cristof.el_timoteus","Dia gk minta maaf karena menyesal, tapi karena semua orang tau seberapa menjijikannya dia. Ingat itu."
"reysiringoringo","asli cewek idaman guru😂"
"schrahmaa","yang paling salah suaminya, netizen jangan salahin anaknya doang (meski emang salah). suaminya yang udah bisa mikir dewasa harusnya"
"anrfya_99","kasian dek dek kayak ngga laku aja cari yg single"
"safitrii.damayanti","Jaman sekarang banyak laki-laki dakjal"
"jenydt__","dulu waktu gue SMK juga guru SMA selingkuh samaa anak muridnya wkwkwk gue bisa ngemeng gini karna liat isi chatnya udh yang yangan "
"wulandari_eka248","Guru olahraga 😂. Kenapa sih pak masih doyan daun muda. Udah ada istri loh😂"
"illgrowsoon","BOCIL SAKIT, ORANG TUANYA KAGA MENDIDIK APA GIMANA? UP DONG KOMEN GW KALI AJA ORANG TUANYA NONGGOL "
"puput.amara","gak mesti guru olahraga si, tapi guru SMA kalo gak kuat nafsu ya gitu"
"chekoutdongg","Pecat gak sihh guru cowonya"
"farhan_ferdians","Kenapa guru olahraga selalu problematik?"
"arthaalyaa","amit-amit, yang satu freak mau sama bocah yang satu gatel obsesi sama suami orang"
